nombre;frecuencia
JESUS ANTONIO;6162 
AVELINO;6154 
ANTIA;6150 
CELESTINO;6145 
MARIA BEATRIZ;6125 
KARIM;6123 
LAILA;6119 
JOSU;6116 
MAIALEN;6109 
OLENA;6108 
ABDELAZIZ;6094 
VISITACION;6077 
VASILE;6076 
ROSANA;6075 
MARCEL;6046 
DEBORA;6026 
GASPAR;6013 
ZAKARIA;6004 
GHEORGHE;5989 
UXUE;5983 
HANANE;5979 
MARIA ANGELS;5967 
MARIA FATIMA;5939 
MARIA ANGELA;5908 
MARIA VICENTA;5901 
MANUEL ALEJANDRO;5889 
NAROA;5861 
MAURICIO;5830 
ANGELINA;5825 
SATURNINO;5823 
GEORGINA;5820 
ADAN;5811 
IZASKUN;5807 
MARIA CINTA;5776 
OLEKSANDR;5764 
MARIA NATIVIDAD;5759 
MICHAEL;5751 
HAMID;5749 
JOSEBA;5710 
SABINA;5680 
DELFINA;5675 
VIRTUDES;5673 
RUFINO;5672 
MARIA ARACELI;5654 
ANGEL MARIA;5641 
BOUCHRA;5639 
PEDRO PABLO;5633 
LUZ MARINA;5624 
ANDRES FELIPE;5610 
GENOVEVA;5592 
SAIDA;5574 
SALVADORA;5572 
MARIBEL;5515 
CLEMENTE;5507 
TERESA JESUS;5483 
SAMARA;5478 
AVELINA;5478 
TEO;5477 
DAVINIA;5444 
ALINA;5443 
SONIA MARIA;5434 
MAMADOU;5415 
ALAIN;5397 
ANASTASIA;5388 
BASILIO;5386 
PELAYO;5378 
HAJAR;5371 
MARIA ANGUSTIAS;5359 
RAIMUNDO;5338 
ANTONIO FRANCISCO;5329 
SEBASTIANA;5288 
IOAN;5281 
UXIA;5270 
DENIS;5248 
CARLOS JOSE;5241 
MARIA LAURA;5223 
CLOE;5214 
REYES;5212 
ERICA;5212 
BRIAN;5204 
MOUSSA;5201 
LLUC;5195 
JAMAL;5185 
OLGA MARIA;5175 
FRANCISCO LUIS;5164 
PEDRO JAVIER;5143 
SALOME;5132 
SARAI;5129 
LUISA FERNANDA;5129 
CAMILO;5121 
PATRICIO;5103 
MARWA;5078 
EIDER;5071 
MARCIAL;5064 
DOLORS;5061 
FELICIANO;5055 
MYRIAM;5049 
HILARIO;5044 
MINERVA;5035 
ROQUE;5027 
LUCIANA;5023 
ALFONSA;5015 
JOSE ALEJANDRO;5008 
FRANCESCA;5002 
ADAY;4994 
MARIA NURIA;4993 
OKSANA;4990 
FATIMA ZAHRA;4985 
EVARISTO;4984 
JOSE GABRIEL;4979 
LATIFA;4971 
MARIA AZUCENA;4965 
MARIA PIEDAD;4960 
MIHAELA;4948 
URSULA;4947 
AUREA;4942 
PAUL;4936 
ELISEO;4905 
JUAN SEBASTIAN;4883 
MARIA RAQUEL;4876 
NINA;4860 
JOSEFA MARIA;4854 
AZIZ;4852 
ARLET;4852 
SOUAD;4851 
NAYRA;4848 
ELOI;4841 
CRISTINA MARIA;4825 
PEDRO MIGUEL;4813 
MARCELA;4809 
LAUREANO;4805 
GRACIA;4796 
IMRAN;4790 
AMAL;4785 
FRANCISCO BORJA;4775 
MARIA JUANA;4771 
GLORIA MARIA;4764 
DESAMPARADOS;4757 
ALESSANDRO;4741 
GUSTAVO ADOLFO;4736 
CARLOS ANDRES;4721 
JUSTA;4716 
JOSE RAFAEL;4715 
NARCISO;4711 
SARAH;4709 
IMANE;4706 
PATROCINIO;4703 
ISIDORA;4702 
AYMAN;4702 
FELIPA;4694 
CONSTANTIN;4692 
LORENZA;4673 
YOUNES;4672 
LUIS EDUARDO;4664 
LEOPOLDO;4662 
DRISS;4658 
PALMIRA;4657 
FRANCISCO ASIS;4637 
MELANIA;4636 
NABIL;4633 
SAMIR;4626 
EVANGELINA;4625 
HAIZEA;4616 
SABRINA;4599 
CECILIO;4573 
CARLOS ENRIQUE;4573 
JESUS MIGUEL;4571 
ARIANA;4567 
BERNARDINO;4561 
DINA;4541 
OBDULIA;4539 
IKRAM;4522 
COVADONGA;4519 
MARIA EVA;4514 
SILVIA MARIA;4510 
BENIGNO;4504 
JOSE FELIX;4501 
RODOLFO;4498 
MARIA ELVIRA;4498 
BRIGIDA;4486 
ADIL;4481 
SANDRA MARIA;4478 
SARA MARIA;4475 
LUIS FRANCISCO;4464 
ZAHRA;4459 
MARIA ALMUDENA;4449 
KILIAN;4448 
INDIA;4448 
BEÑAT;4448 
YASSIN;4445 
CINTIA;4445 
OUSSAMA;4442 
ABDESLAM;4440 
TETIANA;4438 
OCTAVIO;4438 
MIREN;4434 
MARIIA;4427 
SVITLANA;4423 
EVELYN;4420 
ALBERTO JOSE;4410 
THAIS;4397 
JOSE PEDRO;4397 
ADA;4386 
MAITANE;4382 
OLATZ;4376 
HAFIDA;4357 
MANUEL FRANCISCO;4341 
JESUSA;4337 
SEGUNDO;4332 
UNAX;4331 
VICTORIA EUGENIA;4319 
NOE;4319 
IVET;4316 
NOUR;4310 
MARIAN;4298 
MARIA CONSOLACION;4296 
BIENVENIDA;4295 
MARIA ALICIA;4292 
RUT;4288 
YAHYA;4272 
XENIA;4272 
JULIA MARIA;4266 
MARIA GABRIELA;4262 
VALERIANO;4259 
BRUNA;4254 
LUKA;4242 
MARIA EMILIA;4241 
GEMA MARIA;4238 
SIHAM;4237 
JACINTA;4234 
ROC;4233 
ORLANDO;4226 
MARIA PRADO;4222 
PABLO JOSE;4221 
NAJAT;4220 
MAIA;4220 
PAULA MARIA;4219 
IGNASI;4209 
DEMETRIO;4205 
JUAN GABRIEL;4200 
LAZARO;4190 
MARCOS ANTONIO;4177 
JUAN ENRIQUE;4163 
JESUS JAVIER;4162 
CESAREO;4152 
LUIS ALFONSO;4151 
ALEJANDRO JOSE;4149 
ANIBAL;4130 
MARIA MERCE;4128 
MAXIMILIANO;4126 
HAYAT;4120 
BIANCA;4118 
ANGUSTIAS;4113 
VICTOR JOSE;4112 
JUAN FERNANDO;4111 
BERNABE;4108 
NAIRA;4107 
SAIOA;4105 
VICENT;4100 
GERTRUDIS;4092 
NEIZAN;4090 
IZARO;4090 
DIONISIA;4076 
JOSE DOMINGO;4068 
MARIA SALUD;4067 
GRACIELA;4058 
IBON;4054 
MARIA MARGARITA;4053 
ICIAR;4047 
NATALIIA;4033 
ANDREI;4030 
SABELA;4018 
MODESTA;4014 
ELISA ISABEL;4014 
JACQUELINE;4006 
EDUARDO JOSE;4001 
SIRA;3998 
JORGE JUAN;3986 
NICOLAE;3985 
ERICK;3979 
ANA CARMEN;3977 
JESUS ALBERTO;3975 
OTILIA;3962 
MARK;3956 
MARYAM;3954 
RUFINA;3949 
LUCIO;3949 
MARIA FE;3943 
BIENVENIDO;3940 
CARLOS EDUARDO;3936 
IBAN;3933 
CLOTILDE;3930 
FRANCISCA MARIA;3928 
OIHANE;3920 
MAYA;3919 
CESAR AUGUSTO;3917 
CARLOS ANTONIO;3917 
EMMANUEL;3916 
MARIA CELIA;3912 
BALTASAR;3912 
SOCORRO;3910 
DOMINGA;3906 
CLARA ISABEL;3902 
FLORIN;3898 
BELTRAN;3898 
ANASTASIIA;3891 
KAREN;3890 
OLHA;3879 
LORETO;3856 
MELISSA;3855 
ANSELMO;3840 
VOLODYMYR;3839 
VICENTE JOSE;3837 
ZAIDA;3834 
JOSE PABLO;3828 
EMILIANA;3822 
LEILA;3815 
ABIGAIL;3810 
ZOHRA;3809 
GUILLERMINA;3802 
MARIA CECILIA;3799 
NOUREDDINE;3792 
CIPRIANO;3791 
WALID;3782 
LUIS FELIPE;3779 
YOEL;3774 
AMADEO;3773 
NACHO;3768 
JARA;3763 
IBRAHIMA;3759 
ALEXANDRU;3759 
BALBINA;3740 
JOSE GREGORIO;3736 
PAULA ANDREA;3735 
ACHRAF;3735 
JUAN CAMILO;3731 
CELSO;3726 
IRUNE;3725 
MARIA SANDRA;3718 
ILYAS;3718 
GRETA;3710 
LEON;3709 
MIGUEL ANTONIO;3701 
GAIZKA;3696 
HIBA;3689 
JAMILA;3687 
HALIMA;3684 
ANASTASIO;3681 
PLACIDO;3664 
DARIA;3655 
NICO;3646 
AMINE;3646 
MARIA SUSANA;3631 
JOSE JESUS;3628 
DAMARIS;3622 
IMAN;3621 
SVETLANA;3618 
FATNA;3616 
MARIA VANESA;3614 
ANXO;3612 
ARAN;3604 
JOSE TOMAS;3602 
FULGENCIO;3600 
JOSE EDUARDO;3592 
EDER;3591 
MINA;3586 
KARINA;3586 
OLAYA;3580 
KAMAL;3575 
VICTOR HUGO;3559 
FATIMA ZOHRA;3547 
PAOLA ANDREA;3544 
ANTONIO DAVID;3541 
HANAN;3540 
MARIA ANGELICA;3529 
NORBERTO;3520 
MARIA ESTER;3519 
ILUMINADA;3511 
MOURAD;3505 
BRYAN;3505 
EULOGIO;3504 
DULCE MARIA;3497 
GIOVANNI;3483 
CLARA MARIA;3470 
MARIA FELISA;3464 
MICHELLE;3459 
DESIRE;3455 
LUZ;3451 
CASIMIRO;3449 
SOUFIANE;3445 
ANTONIO MARIA;3444 
DANIELLA;3443 
MARIA PAULA;3442 
MIMOUN;3435 
STEFAN;3434 
MARIA VIRGINIA;3428 
ABDELILAH;3428 
MADDI;3423 
PASTORA;3419 
SANDRA MILENA;3418 
BALDOMERO;3412 
ANA LUCIA;3412 
CYNTHIA;3410 
JANIRE;3408 
HENAR;3403 
SALUD;3395 
MARIA CAMILA;3391 
ANTONELLA;3388 
MARIA ADELA;3383 
BIBIANA;3383 
PAZ;3379 
DIEGO FERNANDO;3379 
MARIELA;3377 
RICHARD;3374 
MARIA LORENA;3371 
DUNIA;3371 
FELICITAS;3366 
YESICA;3361 
MELANIE;3352 
FELICIANA;3352 
HERMINIO;3351 
JOSE ALFONSO;3350 
RUBEN DARIO;3347 
NAOMI;3346 
VLADIMIR;3341 
ROI;3341 
MARIA EULALIA;3341 
TEOFILO;3339 
DIEGO JOSE;3326 
MATTEO;3324 
ENARA;3324 
ALEJO;3324 
ISAIAS;3319 
MELISA;3318 
ENRIQUE JOSE;3316 
EKATERINA;3312 
OIHAN;3308 
DIANA CAROLINA;3300 
JUAN ESTEBAN;3298 
IGNACIA;3297 
ANGEL JOSE;3297 
JOSE EMILIO;3295 
XAVI;3292 
PEDRO ANGEL;3290 
OLIVA;3289 
CARMELA;3281 
MARIA CLARA;3279 
HERNAN;3275 
MAXIMINO;3270 
LANDER;3269 
ARTUR;3264 
DANIEL ALEJANDRO;3260 
ANNE;3257 
VIDAL;3252 
FRANCISCO RAMON;3251 
ABDELLATIF;3251 
KATERYNA;3247 
JORGE ANTONIO;3246 
SAMANTHA;3245 
MARIUS;3242 
AITZIBER;3230 
IMAD;3218 
JOSE RAUL;3214 
INOCENCIA;3214 
GARAZI;3205 
LUIS JOSE;3200 
MARINO;3198 
MARIA ESTELA;3197 
ELISENDA;3196 
TONI;3191 
JOSE JULIAN;3188 
EUSEBIA;3185 
LOUBNA;3184 
